Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: length=90n, Vd=100m, Vg=100m, width=120n",,,,,,
1,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",60.55e-12,,,
1,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",19.76e-12,,,
1,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",1.829e6,,,
1,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-408.3e-3,,,
1,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",638.8e-12,,,
1,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",32.32,,,
1,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",100e-3,,,
1,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
1,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",55.57e-18,,,
1,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",508.3e-3,,,
1,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
1,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-18e-18,,,
1,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",10.55,,,
1,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",164.7e-6,,,
"Parameters: length=90n, Vd=100m, Vg=100m, width=240n",,,,,,
2,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",73.5e-12,,,
2,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",23.35e-12,,,
2,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",1.08e6,,,
2,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-426.4e-3,,,
2,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",756.5e-12,,,
2,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",32.4,,,
2,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",100e-3,,,
2,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
2,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",111.5e-18,,,
2,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",526.4e-3,,,
2,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
2,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-35.87e-18,,,
2,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",10.29,,,
2,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",97.28e-6,,,
"Parameters: length=90n, Vd=100m, Vg=100m, width=480n",,,,,,
3,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",97.34e-12,,,
3,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",30.66e-12,,,
3,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",708e3,,,
3,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-440.5e-3,,,
3,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",994.8e-12,,,
3,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",32.45,,,
3,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",100e-3,,,
3,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
3,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",223.6e-18,,,
3,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",540.5e-3,,,
3,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
3,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-71.66e-18,,,
3,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",10.22,,,
3,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",63.87e-6,,,
"Parameters: length=90n, Vd=100m, Vg=100m, width=1u",,,,,,
4,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",147.4e-12,,,
4,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",46.31e-12,,,
4,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",512.3e3,,,
4,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-449.4e-3,,,
4,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",1.502e-9,,,
4,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",32.44,,,
4,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",100e-3,,,
4,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
