l,w,gds,id,fug,vgt,gm,gmoverid,vgs,vds,cgg,vth,vbs,cgs
9.000000000000001e-08,1.2000000000000002e-07,6.055e-11,1.976e-11,1829000.0,-0.4083,6.388e-10,32.32,0.1,0.1,5.557e-17,0.5083,0.0,-1.8e-17
9.000000000000001e-08,2.4000000000000003e-07,7.35e-11,2.335e-11,1080000.0,-0.4264,7.565e-10,32.4,0.1,0.1,1.115e-16,0.5264,0.0,-3.587e-17
9.000000000000001e-08,4.800000000000001e-07,9.734e-11,3.066e-11,708000.0,-0.4405,9.948e-10,32.45,0.1,0.1,2.236e-16,0.5405,0.0,-7.166e-17
9.000000000000001e-08,1e-06,1.474e-10,4.631e-11,512300.0,-0.4494,1.502e-09,32.44,0.1,0.1,4.668e-16,0.5494,0.0,-1.493e-16
9.000000000000001e-08,1.2000000000000002e-07,1.439e-09,4.782e-10,41840000.0,-0.3083,1.488e-08,31.11,0.2,0.1,5.658e-17,0.5083,0.0,-2.052e-17
9.000000000000001e-08,2.4000000000000003e-07,1.783e-09,5.739e-10,25660000.0,-0.3264,1.804e-08,31.43,0.2,0.1,1.119e-16,0.5264,0.0,-3.915e-17
9.000000000000001e-08,4.800000000000001e-07,2.388e-09,7.601e-10,17190000.0,-0.3405,2.402e-08,31.6,0.2,0.1,2.224e-16,0.5405,0.0,-7.608e-17
9.000000000000001e-08,1e-06,3.63e-09,1.151e-09,12550000.0,-0.3494,3.644e-08,31.67,0.2,0.1,4.622e-16,0.5494,0.0,-1.563e-16
9.000000000000001e-08,1.2000000000000002e-07,2.54e-08,9.042e-09,578600000.0,-0.2083,2.441e-07,27.0,0.3,0.1,6.715e-17,0.5083,0.0,-3.4e-17
9.000000000000001e-08,2.4000000000000003e-07,3.402e-08,1.158e-08,403600000.0,-0.2264,3.245e-07,28.03,0.3,0.1,1.279e-16,0.5264,0.0,-6.074e-17
9.000000000000001e-08,4.800000000000001e-07,4.761e-08,1.589e-08,292500000.0,-0.2405,4.55e-07,28.63,0.3,0.1,2.476e-16,0.5405,0.0,-1.113e-16
9.000000000000001e-08,1e-06,7.433e-08,2.457e-08,224000000.0,-0.2494,7.132e-07,29.02,0.3,0.1,5.066e-16,0.5494,0.0,-2.204e-16
9.000000000000001e-08,1.2000000000000002e-07,2.479e-07,9.691e-08,3405000000.0,-0.1083,1.994e-06,20.58,0.4,0.1,9.319e-17,0.5083,0.0,-6.501e-17
